epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.8068000078201294,0.8266000151634216,2.0765,0.3476
2.0,0.8310999870300293,0.8510000109672546,0.6134,0.3245
3.0,0.8497999906539917,0.8723999857902527,0.3211,0.2826
4.0,0.8600000143051147,0.8259999752044678,0.411,0.4927
5.0,0.8752999901771545,0.8658000230789185,0.3563,0.2516
6.0,0.8866000175476074,0.42910000681877136,0.262,0.8921
7.0,0.8980000019073486,0.8766000270843506,0.2901,0.2231
8.0,0.8981000185012817,0.8827000260353088,0.283,0.2172
9.0,0.909500002861023,0.9366999864578247,0.2192,0.1767
10.0,0.9114000201225281,0.9072999954223633,0.2441,0.2064
11.0,0.914900004863739,0.9121999740600586,0.2519,0.1844
12.0,0.9172999858856201,0.9293000102043152,0.1989,0.1917
13.0,0.9222999811172485,0.9452000260353088,0.2295,0.1502
14.0,0.9236000180244446,0.9333999752998352,0.2118,0.1661
15.0,0.9254000186920166,0.9473999738693237,0.1763,0.1412
16.0,0.9258999824523926,0.9416999816894531,0.2062,0.1524
17.0,0.9297999739646912,0.9024999737739563,0.1836,0.185
18.0,0.9312000274658203,0.9136000275611877,0.1827,0.1815
19.0,0.9343000054359436,0.8942000269889832,0.1546,0.194
20.0,0.9333000183105469,0.9373000264167786,0.1863,0.1328
21.0,0.9348000288009644,0.9379000067710876,0.1495,0.1543
22.0,0.9370999932289124,0.9599000215530396,0.1735,0.1129
23.0,0.9358999729156494,0.8112999796867371,0.1479,0.8905
24.0,0.9384999871253967,0.9574999809265137,0.1556,0.1109
25.0,0.9397000074386597,0.9254000186920166,0.1948,0.1492
26.0,0.9376999735832214,0.9517999887466431,0.1447,0.1196
27.0,0.9398000240325928,0.9104999899864197,0.1631,0.1449
28.0,0.9399999976158142,0.9595000147819519,0.1331,0.1018
29.0,0.9387000203132629,0.8431000113487244,0.1401,0.2525
30.0,0.9419000148773193,0.9517999887466431,0.1602,0.107
31.0,0.9398999810218811,0.8654999732971191,0.1408,0.3453
32.0,0.9429000020027161,0.9430999755859375,0.1325,0.1202
33.0,0.942300021648407,0.9381999969482422,0.1247,0.1183
34.0,0.9409999847412109,0.9107000231742859,0.1501,0.1336
35.0,0.942799985408783,0.9639000296592712,0.1218,0.0948
36.0,0.9416000247001648,0.8366000056266785,0.1254,0.3218
37.0,0.9431999921798706,0.9318000078201294,0.1203,0.1228
38.0,0.9424999952316284,0.9635000228881836,0.1213,0.0941
39.0,0.9452000260353088,0.9236999750137329,0.1534,0.1473
40.0,0.9427000284194946,0.9577999711036682,0.1359,0.0952
41.0,0.9474999904632568,0.9498000144958496,0.1086,0.1081
42.0,0.9448000192642212,0.9635000228881836,0.1171,0.0928
43.0,0.944599986076355,0.9538000226020813,0.1385,0.1042
44.0,0.9462000131607056,0.9649999737739563,0.1084,0.0852
45.0,0.9448999762535095,0.9491999745368958,0.1122,0.0984
46.0,0.9455999732017517,0.9333000183105469,0.112,0.1044
47.0,0.9416999816894531,0.9623000025749207,0.1446,0.0871
48.0,0.9487000107765198,0.9470000267028809,0.1017,0.0991
49.0,0.9452000260353088,0.9578999876976013,0.1063,0.0923
50.0,0.944599986076355,0.9661999940872192,0.1097,0.08
